spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[3 12 16 26 30 39 47 50],30,30,13,46,20,20,4,125,69,69,15,507
[3 12 16 26 30 39 47 50 56],30,30,13,46,18,18,4,123,71,71,15,509
[3 12 16 26 30 39 47 50 56 64],30,30,13,46,16,16,2,121,73,73,17,511
[3 12 16 26 30 39 47 50 64],30,30,13,46,18,18,2,123,71,71,17,509
[3 12 16 26 30 39 47 56],30,30,13,46,20,20,5,125,69,69,14,507
[3 12 16 26 30 39 47 56 64],30,30,13,46,17,17,2,122,72,72,17,510
[3 12 16 26 30 39 47 64],30,30,13,46,19,19,2,124,70,70,17,508
[3 12 16 26 30 39 50],30,30,13,46,22,20,4,128,67,69,15,504
[3 12 16 26 30 39 50 56],30,30,13,46,20,18,4,126,69,71,15,506
[3 12 16 26 30 39 50 56 64],30,30,13,46,18,16,2,124,71,73,17,508
[3 12 16 26 30 39 50 64],30,30,13,46,20,18,2,126,69,71,17,506
[3 12 16 26 30 39 56],30,30,13,46,26,26,8,134,63,63,11,498
[3 12 16 26 30 39 56 64],30,30,13,46,20,20,2,128,69,69,17,504
[3 12 16 26 30 39 64],30,30,13,46,22,22,2,130,67,67,17,502
[3 12 16 26 30 47],30,30,13,46,26,26,5,135,63,63,14,497
[3 12 16 26 30 47 50],30,30,13,46,24,24,4,133,65,65,15,499
[3 12 16 26 30 47 50 56],30,30,13,46,20,20,4,129,69,69,15,503
[3 12 16 26 30 47 50 56 64],30,30,13,46,18,18,2,127,71,71,17,505
[3 12 16 26 30 47 50 64],30,30,13,46,22,22,2,131,67,67,17,501
[3 12 16 26 30 47 56],30,30,13,46,22,22,5,131,67,67,14,501
[3 12 16 26 30 47 56 64],30,30,13,46,19,19,2,128,70,70,17,504
[3 12 16 26 30 47 64],30,30,13,46,23,23,2,132,66,66,17,500
[3 12 16 26 30 50],30,30,13,46,26,24,4,136,63,65,15,496
[3 12 16 26 30 50 56],30,30,13,46,22,20,4,132,67,69,15,500
